source,order,family,genus,specificEp,yearpub,PUBL,year,month,Anacapa,Santa Barbara,Santa Catalina,San Clemente,Santa Cruz,San Miguel,San Nicholas,Santa Rosa 
lit,Hymenoptera,Anthophoridae,Anthophora (Anthophora),edwardsii,1985,Ent. Calif. Ch. Isls. Proc.,1940,8,1,,,,,,,
lit,Hymenoptera,Anthophoridae,Anthophora (Anthophora),edwardsii,1939,Bull. S. Calif. Acad. Sci.,1939,3,,,,1,,,,
lit,Hymenoptera,Anthophoridae,Anthophora (Anthophora),edwardsii,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,1,,
lit,Hymenoptera,Anthophoridae,Anthophora (Anthophora),edwardsii,1940,Proc. Sixth Pac. Sci. Cong.,,,,,,1,,,,
lit,Hymenoptera,Anthophoridae,Anthophora (Anthophora),edwardsii,1938,Ann. & Mag. Nat. Hist.,1938,5,,,1,,,1,,
lit,Hymenoptera,Anthophoridae,Anthophora (Anthophora),edwardsii,1985,Ent. Calif. Ch. Isls. Proc.,,,1,1,1,1,1,1,1,1
lit,Hymenoptera,Anthophoridae,Anthophora (Anthophora),urbana,1901,Can. Ent.,,,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Anthophora (Anthophora),urbana,1901,Can. Ent.,,,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Anthophora (Anthophora),urbana,1903,Psyche,,,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Anthophora (Anthophora),urbana,1937,Pan-Pac. Ent.,1937,7,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Anthophora (Anthophora),urbana,1937,Pan-Pac. Ent.,,,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Anthophora (Anthophora),urbana,1939,Proc. Calif. Acad. Sci. ser.4,,,,,,,,,1,
lit,Hymenoptera,Anthophoridae,Anthophora (Anthophora),urbana,1939,Bull. S. Calif. Acad. Sci.,,,,,,,,,1,
lit,Hymenoptera,Anthophoridae,Anthophora (Anthophora),urbana,1939,Bull. S. Calif. Acad. Sci.,1939,5,,1,1,,,,,
lit,Hymenoptera,Anthophoridae,Anthophora (Anthophora),urbana,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Anthophora (Anthophora),urbana,1939,Bull. S. Calif. Acad. Sci.,1939,8,,,,,1,1,,
lit,Hymenoptera,Anthophoridae,Anthophora (Anthophora),urbana,1939,Proc. Calif. Acad. Sci. ser.4,,,,,,1,,,,
