source,order,family,genus,subgenus,specificEp,scientificName,yearpub,PUBL,year,month,Anacapa,Santa Barbara,Santa Catalina,San Clemente,Santa Cruz,San Miguel,San Nicholas,Santa Rosa 
lit,Hymenoptera,Anthophoridae,Melissodes,(Callimelissod,catalinensis,Melissodes catalinensis,NA,,,,,,,,,,,
lit,Hymenoptera,Anthophoridae,Melissodes,(Callimelissod,lupina,Melissodes lupina,1905,Bull. S. Calif. Acad. Sci.,,,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Melissodes,(Callimelissod,lupina,Melissodes lupina,1923,Proc. Calif. Acad. Sci. ser. 4,,,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Melissodes,(Callimelissod,lupina,Melissodes lupina,1939,Bull. S. Calif. Acad. Sci.,1939,8,,,,,,,,1
lit,Hymenoptera,Anthophoridae,Melissodes,(Callimelissod,lupina,Melissodes lupina,1985,Ent. Calif. Ch. Isls. Proc.,,,1,1,,,1,,,1
lit,Hymenoptera,Anthophoridae,Melissodes,(Callimelissod,lupina,Melissodes lupina,1940,Proc. Sixth Pac. Sci. Cong.,,,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Melissodes,(Callimelissod,lupina,Melissodes lupina,1961,Univ. Kansas Sci. Bull.,,,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Melissodes,(Callimelissod,lupina,Melissodes lupina,1985,Ent. Calif. Ch. Isls. Proc.,1978,8,1,,,,,,,
lit,Hymenoptera,Anthophoridae,Melissodes,(Callimelissod,lupina,Melissodes lupina,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Melissodes,(Eumelissodes),agilis,Melissodes agilis,1961,Univ. Kansas Sci. Bull.,,,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Melissodes,(Eumelissodes),agilis,Melissodes agilis,1985,Ent. Calif. Ch. Isls. Proc.,,,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Nomada,,,,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,
lit,Hymenoptera,Anthophoridae,Nomada,,,,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,
lit,Hymenoptera,Anthophoridae,Nomada,,,,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,
lit,Hymenoptera,Anthophoridae,Nomada,,,,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,
lit,Hymenoptera,Anthophoridae,Nomada,,,,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,
lit,Hymenoptera,Anthophoridae,Nomada,,,,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,
lit,Hymenoptera,Anthophoridae,Nomada,,,,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,
lit,Hymenoptera,Anthophoridae,Nomada,,,,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,
lit,Hymenoptera,Anthophoridae,Nomada,,,,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,
lit,Hymenoptera,Anthophoridae,Nomada,,,,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,
lit,Hymenoptera,Anthophoridae,Nomada,,,,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,
lit,Hymenoptera,Anthophoridae,Nomada,(Holonomada),edwardsii edwardsii,Nomada edwardsii edwardsii,1939,Proc. Calif. Acad. Sci. ser.4,,,,,,,,1,,
lit,Hymenoptera,Anthophoridae,Nomada,(Holonomada),edwardsii edwardsii,Nomada edwardsii edwardsii,1972,Wasmann J. Biol.,,,,,,,1,,,
lit,Hymenoptera,Anthophoridae,Nomada,(Holonomada),edwardsii edwardsii,Nomada edwardsii edwardsii,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,,1,,
lit,Hymenoptera,Anthophoridae,Nomada,(Holonomada),edwardsii edwardsii,Nomada edwardsii edwardsii,1985,Ent. Calif. Ch. Isls. Proc.,,,,1,1,,1,,,1
lit,Hymenoptera,Anthophoridae,Nomada,(Nomada),avalonica,Nomada avalonica,1938,Ann. & Mag. Nat. Hist. ser. 11,1938,3,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Nomada,(Nomada),avalonica,Nomada avalonica,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Nomada,(Nomada),avalonica,Nomada avalonica,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,,,,
lit,Hymenoptera,Anthophoridae,Tetralonia,,actuosa,Tetralonia actuosa,1985,Ent. Calif. Ch. Isls. Proc.,1979,3,1,,,,,,,
lit,Hymenoptera,Anthophoridae,Tetralonia,,actuosa,Tetralonia actuosa,1985,Ent. Calif. Ch. Isls. Proc.,,,1,1,,1,1,,1,1
lit,Hymenoptera,Anthophoridae,Tetralonia,,amsinckiae,Tetralonia amsinckiae,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,
lit,Hymenoptera,Anthophoridae,Tetralonia,,atriventris,Tetralonia atriventris,1939,Proc. Calif. Acad. Sci. ser.4,,,,,,,,1,,
lit,Hymenoptera,Anthophoridae,Tetralonia,,cordleyi,Tetralonia cordleyi,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,1,,
lit,Hymenoptera,Anthophoridae,Tetralonia,,delphinii,Tetralonia delphinii,1969,Univ. Calif. Publ. Ent.,,,1,,,,,,,
lit,Hymenoptera,Anthophoridae,Tetralonia,,edwardsii,Tetralonia edwardsii,1985,Ent. Calif. Ch. Isls. Proc.,1979,3,1,,,,,,,
lit,Hymenoptera,Anthophoridae,Tetralonia,,edwardsii,Tetralonia edwardsii,1985,Ent. Calif. Ch. Isls. Proc.,,,1,,,,1,1,,1
lit,Hymenoptera,Anthophoridae,Tetralonia,,frater albopilosa,Tetralonia frater albopilosa,1985,Ent. Calif. Ch. Isls. Proc.,1941,3,1,,,,,,,
lit,Hymenoptera,Anthophoridae,Tetralonia,,frater frater,Tetralonia frater frater,1985,Ent. Calif. Ch. Isls. Proc.,,,1,,,,1,1,,
lit,Hymenoptera,Anthophoridae,Tetralonia,,lunata,Tetralonia lunata,1985,Ent. Calif. Ch. Isls. Proc.,,,,,1,1,,,,
lit,Hymenoptera,Anthophoridae,Tetralonia,,pagosana,Tetralonia pagosana,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,,,1,
lit,Hymenoptera,Anthophoridae,Tetralonia,,tricinctella,Tetralonia tricinctella,1969,Univ. Calif. Publ. Ent.,,,,,,1,,,,
lit,Hymenoptera,Anthophoridae,Tetralonia,,tricinctella,Tetralonia tricinctella,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,1,,,,
lit,Hymenoptera,Anthophoridae,Triepeolus,,heterurus,Triepeolus heterurus,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Triepeolus,,heterurus,Triepeolus heterurus,1984,Pan-Pac. Ent.,,,1,,1,,1,,,
lit,Hymenoptera,Anthophoridae,Triepeolus,,heterurus,Triepeolus heterurus,1985,Ent. Calif. Ch. Isls. Proc.,1978,8,1,,,,,,,
lit,Hymenoptera,Anthophoridae,Triepeolus,,heterurus,Triepeolus heterurus,1985,Ent. Calif. Ch. Isls. Proc.,,,1,,1,,1,,,
lit,Hymenoptera,Anthophoridae,Xeromelecta,,californica,Xeromelecta californica,1986,Psyche,,,,,,,,1,,
lit,Hymenoptera,Anthophoridae,Xeromelecta,,californica,Xeromelecta californica,1985,Ent. Calif. Ch. Isls. Proc.,1978,8,1,,,,,,,
lit,Hymenoptera,Anthophoridae,Xeromelecta,,californica,Xeromelecta californica,1985,Ent. Calif. Ch. Isls. Proc.,,,1,1,,1,,,,
lit,Hymenoptera,Anthophoridae,Xeromelecta,,californica,Xeromelecta californica,1986,Psyche,,,,,,,,1,,
lit,Hymenoptera,Anthophoridae,Xeromelecta,,californica,Xeromelecta californica,1939,Bull. S. Calif. Acad. Sci.,1939,5,,1,,,,,,1
lit,Hymenoptera,Aphelinidae,Aphytis,,diaspidis,Aphytis diaspidis,1910,J. Econ. Ent.,,,,,1,,,,,
lit,Hymenoptera,Aphelinidae,Aphytis,,diaspidis,Aphytis diaspidis,1979,Ser. Ent.,,,,,,,1,,,
lit,Hymenoptera,Aphelinidae,Aphytis,,lingnanensis,Aphytis lingnanensis,1979,Ser. Ent.,,,,,,,1,,,
lit,Hymenoptera,Aphelinidae,Aphytis,,mytilaspidis,Aphytis mytilaspidis,1979,Ser. Ent.,,,,,,,1,,,
lit,Hymenoptera,Apidae,Apis,,mellifera,Apis mellifera,1892,Zoe,1892,8,,,1,,,,,
lit,Hymenoptera,Apidae,Apis,,mellifera,Apis mellifera,1939,Bull. S. Calif. Acad. Sci.,1939,8,,,,,1,,,
lit,Hymenoptera,Apidae,Apis,,mellifera,Apis mellifera,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,,,
lit,Hymenoptera,Apidae,Apis,,mellifera,Apis mellifera,1942,U. S. Naval Inst. Proc.,,,,,,1,,,,
lit,Hymenoptera,Apidae,Apis,,mellifera,Apis mellifera,1985,Ent. Calif. Ch. Isls. Proc.,,,,,1,,1,,,
lit,Hymenoptera,Apidae,Apis,,mellifera,Apis mellifera,1989,Amer. Bee J.,,,,,,,1,,,
lit,Hymenoptera,Apidae,Bombus,,californicus,Bombus californicus,1892,Zoe,1892,8,,,1,,,,,
lit,Hymenoptera,Apidae,Bombus,,californicus,Bombus californicus,1937,Pan-Pac. Ent.,1937,7,,,,,,1,,
lit,Hymenoptera,Apidae,Bombus,,californicus,Bombus californicus,1939,Bull. S. Calif. Acad. Sci.,,,,,,,,1,,
lit,Hymenoptera,Apidae,Bombus,,californicus,Bombus californicus,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,1,,
lit,Hymenoptera,Apidae,Bombus,,californicus,Bombus californicus,1983,Calif. Ins. Surv. Bull.,,,,,1,,,1,,1
lit,Hymenoptera,Apidae,Bombus,,californicus,Bombus californicus,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,,1,,1
lit,Hymenoptera,Apidae,Bombus,,crotchii,Bombus crotchii,1983,Calif. Ins. Surv. Bull.,,,,,,,,,,1
lit,Hymenoptera,Apidae,Bombus,,crotchii,Bombus crotchii,1985,Ent. Calif. Ch. Isls. Proc.,1978,6,1,,,,,,,
lit,Hymenoptera,Apidae,Bombus,,crotchii,Bombus crotchii,1985,Ent. Calif. Ch. Isls. Proc.,,,1,,,,,,,1
lit,Hymenoptera,Apidae,Bombus,,edwardsii,Bombus edwardsii,1927,Proc. Calif. Acad. Sci. ser. 4,,,,,,,,,,
lit,Hymenoptera,Apidae,Bombus,,edwardsii,Bombus edwardsii,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,,,
lit,Hymenoptera,Apidae,Bombus,,edwardsii,Bombus edwardsii,1983,Calif. Ins. Surv. Bull.,,,1,,1,,1,,,
lit,Hymenoptera,Apidae,Bombus,,edwardsii,Bombus edwardsii,1985,Ent. Calif. Ch. Isls. Proc.,1941,3,1,,,,,,,
lit,Hymenoptera,Apidae,Bombus,,edwardsii,Bombus edwardsii,1985,Ent. Calif. Ch. Isls. Proc.,,,1,,1,,1,,,
lit,Hymenoptera,Apidae,Bombus,,nevadensis nevadensis,Bombus nevadensis nevadensis,1937,Pan-Pac. Ent.,1937,7,,,,,,1,,
lit,Hymenoptera,Apidae,Bombus,,nevadensis nevadensis,Bombus nevadensis nevadensis,1937,Pan-Pac. Ent.,1937,7,,,,,,1,,
lit,Hymenoptera,Apidae,Bombus,,nevadensis nevadensis,Bombus nevadensis nevadensis,1939,Proc. Calif. Acad. Sci. ser.4,,,,,,,,1,,
lit,Hymenoptera,Apidae,Bombus,,nevadensis nevadensis,Bombus nevadensis nevadensis,1939,Proc. Calif. Acad. Sci. ser.4,,,,,,,,1,,
lit,Hymenoptera,Apidae,Bombus,,nevadensis nevadensis,Bombus nevadensis nevadensis,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,,,,
lit,Hymenoptera,Apidae,Bombus,,nevadensis nevadensis,Bombus nevadensis nevadensis,1957,Oregon St. Coll. Agr. Exp.,,,,,,,,1,,
lit,Hymenoptera,Apidae,Bombus,,nevadensis nevadensis,Bombus nevadensis nevadensis,1971,Mem. Ent. Soc. Canada,,,,,,,,1,,
lit,Hymenoptera,Apidae,Bombus,,nevadensis nevadensis,Bombus nevadensis nevadensis,1983,Calif. Ins. Surv. Bull.,,,,,,,,1,,
lit,Hymenoptera,Apidae,Bombus,,nevadensis nevadensis,Bombus nevadensis nevadensis,1957,Oregon St. Coll. Agr. Exp.,,,,,,,,1,,
lit,Hymenoptera,Apidae,Bombus,,sonorus,Bombus sonorus,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,,,
lit,Hymenoptera,Apidae,Bombus,,sonorus,Bombus sonorus,1983,Calif. Ins. Surv. Bull.,,,,,1,,,,,
lit,Hymenoptera,Apidae,Bombus,,sonorus,Bombus sonorus,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,,,,
lit,Hymenoptera,Apidae,Bombus,,,,1966,Aliso,,,,,1,,,,,
lit,Hymenoptera,Apidae,Bombus,,,,1892,Zoe,1892,8,,,1,,,,,
lit,Hymenoptera,Apidae,Bombus,,vosnesenskii,Bombus vosnesenskii,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,,,
lit,Hymenoptera,Apidae,Bombus,,vosnesenskii,Bombus vosnesenskii,1983,Calif. Ins. Surv. Bull.,,,,,1,,,,,
lit,Hymenoptera,Apidae,Bombus,,vosnesenskii,Bombus vosnesenskii,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,,,,
lit,Hymenoptera,Bethylidae,Goniozus,,,,1986,Psyche,,,,,,,,1,,
lit,Hymenoptera,Braconidae,Apanteles,,theclae,Apanteles theclae,1987,Atala,,,,,1,,,,,
lit,Hymenoptera,Braconidae,Apanteles,(s. l.),,,1940,Proc. Sixth Pac. Sci. Cong.,,,,,,,,,1,
lit,Hymenoptera,Braconidae,Apanteles,(s. s.),,,1986,Psyche,,,,,,,,1,,
lit,Hymenoptera,Braconidae,Dueterixys,,pacifica,Dueterixys pacifica,1985,Pan-Pac. Ent.,,,,,,,,,1,
lit,Hymenoptera,Braconidae,Dueterixys,,quercicola,Dueterixys quercicola,1985,Pan-Pac. Ent.,,,,,,,1,,,
lit,Hymenoptera,Braconidae,Meteorus,,,,1982,"Tech. Rep., Allan Hancock, USC",,,,,,1,,,,
lit,Hymenoptera,Braconidae,Viridipyge,,prunicola,Viridipyge prunicola,1988,Syst. Ent.,,,,,,,,,,
lit,Hymenoptera,Cephidae,Calameuta,,clavata,Calameuta clavata,1937,Trans. Amer. Ent. Soc.,,,,,1,,,,,
lit,Hymenoptera,Cephidae,Calameuta,,clavata,Calameuta clavata,1969,Bull. Calif. Insect Surv.,,,,,1,,,,,
lit,Hymenoptera,Cephidae,Filacus,,provancheri,Filacus provancheri,1984,Pan-Pac. Ent.,,,,,,,1,,,
lit,Hymenoptera,Chrysididae,Argochrysis,,armilla,Argochrysis armilla,1982,Mem. Amer. Ent. Inst.,,,,,,,1,,,
lit,Hymenoptera,Chrysididae,Argochrysis,,toralis,Argochrysis toralis,1982,Mem. Amer. Ent. Inst.,,,,,1,,,,,
lit,Hymenoptera,Chrysididae,Chrysis,,amala,Chrysis amala,1982,Mem. Amer. Ent. Inst.,,,,,,,1,,,
lit,Hymenoptera,Chrysididae,Chrysis,,coloradica,Chrysis coloradica,1982,Mem. Amer. Ent. Inst.,,,,,,,1,,,
lit,Hymenoptera,Chrysididae,Chrysis,,inflata,Chrysis inflata,1982,Mem. Amer. Ent. Inst.,,,,,,,1,,,
lit,Hymenoptera,Chrysididae,Chrysis,,nitidula,Chrysis nitidula,1982,Mem. Amer. Ent. Inst.,,,,,,,1,,,
lit,Hymenoptera,Chrysididae,Chrysis,,schusteri,Chrysis schusteri,1982,Mem. Amer. Ent. Inst.,,,,,,,1,1,,
lit,Hymenoptera,Chrysididae,Chrysis,,vagabunda,Chrysis vagabunda,1982,Mem. Amer. Ent. Inst.,,,,,,,1,,,
lit,Hymenoptera,Chrysididae,Chrysura,,inusitata,Chrysura inusitata,1982,Mem. Amer. Ent. Inst.,,,,,,,1,,,
lit,Hymenoptera,Chrysididae,Chyrsis,,schusteri,Chyrsis schusteri,1990,The chrysidid wasps ... world,,,,,,,1,,,
lit,Hymenoptera,Chrysididae,Cleptes,(Cleptes),rufifemur,Cleptes rufifemur,1981,Proc. Biol. Soc. Wash.,1981,5,,,,,1,,,
lit,Hymenoptera,Chrysididae,Cleptes,(Cleptes),rufifemur,Cleptes rufifemur,1982,Mem. Amer. Ent. Inst.,,,,,,,1,,,
lit,Hymenoptera,Chrysididae,Hedychridium,,bilobatum,Hedychridium bilobatum,1978,Proc. Biol. Soc. Wash.,,,,,,,1,,,
lit,Hymenoptera,Chrysididae,Hedychridium,,cornutum,Hedychridium cornutum,1978,Proc. Biol. Soc. Wash.,,,,,,,1,,,
lit,Hymenoptera,Chrysididae,Hedychridium,,cornutum,Hedychridium cornutum,1982,Mem. Amer. Ent. Inst.,,,,,,,1,,,
lit,Hymenoptera,Chrysididae,Hedychridium,,crassum,Hedychridium crassum,1978,Proc. Biol. Soc. Wash.,,,,,,,1,,,
lit,Hymenoptera,Chrysididae,Hedychridium,,dimidiatum,Hedychridium dimidiatum,1982,Mem. Amer. Ent. Inst.,,,,,,,1,,,
lit,Hymenoptera,Chrysididae,Hedychridium,,fletcheri,Hedychridium fletcheri,1982,Mem. Amer. Ent. Inst.,,,,,,,1,1,,
lit,Hymenoptera,Chrysididae,Hedychrum,,boharti,Hedychrum boharti,1982,Mem. Amer. Ent. Inst.,,,,,,,1,,,
lit,Hymenoptera,Chrysididae,Hedychrum,,parvum,Hedychrum parvum,1982,Mem. Amer. Ent. Inst.,,,,,,,1,,,
lit,Hymenoptera,Chrysididae,Omalus,(Omalus),glomeratus,Omalus glomeratus,1982,Mem. Amer. Ent. Inst.,,,,,,,1,,,
lit,Hymenoptera,Chrysididae,Parnopes,,edwardsii,Parnopes edwardsii,1964,Univ. Calif. Publ. Ent.,,,,,,,,,,1
lit,Hymenoptera,Colletidae,Colletes,,californicus,Colletes californicus,1938,Ann. & Mag. Nat. Hist.,1938,5,,,,,,1,,
lit,Hymenoptera,Colletidae,Colletes,,californicus,Colletes californicus,1939,Proc. Calif. Acad. Sci. ser.4,,,,,,,,1,,
lit,Hymenoptera,Colletidae,Colletes,,hyalinus gaudialis,Colletes hyalinus gaudialis,1940,Bull. S. Calif. Acad. Sci.,,,,,,,,,,1
lit,Hymenoptera,Colletidae,Colletes,,hyalinus gaudialis,Colletes hyalinus gaudialis,1985,Ent. Calif. Ch. Isls. Proc.,1978,,1,,,,,,,
lit,Hymenoptera,Colletidae,Colletes,,hyalinus gaudialis,Colletes hyalinus gaudialis,1985,Ent. Calif. Ch. Isls. Proc.,,,1,,1,,1,1,1,1
lit,Hymenoptera,Colletidae,Colletes,,hyalinus gaudialis,Colletes hyalinus gaudialis,1986,Psyche,,,,,,,,1,,
lit,Hymenoptera,Colletidae,Colletes,,slevini,Colletes slevini,1939,Pan-Pac Ent.,,,,,1,,,,,
lit,Hymenoptera,Colletidae,Colletes,,slevini,Colletes slevini,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,,,
lit,Hymenoptera,Colletidae,Colletes,,slevini,Colletes slevini,1954,Univ. Kansas Bull.,,,,,1,,,,,
lit,Hymenoptera,Colletidae,Hylaeus,,polifolii,Hylaeus polifolii,1938,Ann. & Mag. Nat. Hist. (11),1938,4,,,1,,,,,
lit,Hymenoptera,Colletidae,Hylaeus,,polifolii,Hylaeus polifolii,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,,,
lit,Hymenoptera,Colletidae,Hylaeus,,polifolii,Hylaeus polifolii,1970,LACM Cont. Sci.,,,,,1,,,,,
lit,Hymenoptera,Colletidae,Hylaeus,,polifolii,Hylaeus polifolii,1985,Ent. Calif. Ch. Isls. Proc.,,,,,1,,1,,,1
lit,Hymenoptera,Cynipidae,Andricus,,chrysolepidocola,Andricus chrysolepidocola,1922,Indiana Univ. Studies,1920,2,,,1,,,,,
lit,Hymenoptera,Cynipidae,Andricus,,chrysolepidocola,Andricus chrysolepidocola,1940,Proc. Sixth Pac. Sci. Cong.,,,,,1,,,,,
lit,Hymenoptera,Cynipidae,Andricus,,fimbrialis,Andricus fimbrialis,1926,Proc. U.S. Natl. Mus.,,,,,1,,,,,
lit,Hymenoptera,Cynipidae,Andricus,,,,1957,Cynipid Galls Pac. Slope,,,,,1,,,,,
lit,Hymenoptera,Cynipidae,Andricus,,,,1974,Pan-Pac. Ent.,,,,,1,,,,,
lit,Hymenoptera,Cynipidae,Disholcaspis,,washingtonensis,Disholcaspis washingtonensis,1926,Proc. U.S. Natl. Mus.,,,,,1,,,,,
lit,Hymenoptera,Cynipidae,Neuroterus,,florulentus,Neuroterus florulentus,1957,Cynipid Galls Pac. Slope,,,,,1,,,,,
lit,Hymenoptera,Cynipidae,Neuroterus,,florulentus,Neuroterus florulentus,1957,Proc. U. S. Nat. Mus.,,,,,1,,,,,
lit,Hymenoptera,Cynipidae,Neuroterus,,fragilis,Neuroterus fragilis,1957,Cynipid Galls Pac. Slope,,,,,1,,,,,
lit,Hymenoptera,Cynipidae,Neuroterus,,saltatorius,Neuroterus saltatorius,1957,Cynipid Galls Pac. Slope,,,,,1,,,,,
lit,Hymenoptera,Cynipidae,Xanthoteras,,pulchellum,Xanthoteras pulchellum,1911,Ent. News,,,,,1,,,,,
lit,Hymenoptera,Cynipidae,Xanthoteras,,pulchellum,Xanthoteras pulchellum,1930,Indiana Univ. Stud.,,,,,1,,,,,
lit,Hymenoptera,Cynipidae,Xanthoteras,,pulchellum,Xanthoteras pulchellum,1980,Pan-Pac. Ent.,,,,,1,,,,,
lit,Hymenoptera,Encyrtidae,Metaphycus,,alberti,Metaphycus alberti,1913,J. Econ. Ent.,,,,,1,,,,,
lit,Hymenoptera,Encyrtidae,Metaphycus,,alberti,Metaphycus alberti,1916,Proc. U.S. Natl. Mus.,1912,9,,,1,,,,,
lit,Hymenoptera,Encyrtidae,Metaphycus,,alberti,Metaphycus alberti,1940,Proc. Sixth Pac. Sci. Cong.,,,,,1,,,,,
lit,Hymenoptera,Encyrtidae,Ooencyrtus,,johnsoni,Ooencyrtus johnsoni,1973,Environ. Ent.,,,,,,,1,,,
lit,Hymenoptera,Eulophidae,Pnigalio,,flavipes,Pnigalio flavipes,1983,Can. Ent.,,,,,,,1,1,,
lit,Hymenoptera,Eulophidae,Pnigalio,,minio,Pnigalio minio,1983,Can. Ent.,,,,,,,1,,,
lit,Hymenoptera,Formicidae,Aphaenogaster,,patruelis,Aphaenogaster patruelis,1904,Bull. Amer. Mus. Nat. Hist.,,,,,1,,,,,
lit,Hymenoptera,Formicidae,Aphaenogaster,,patruelis,Aphaenogaster patruelis,1905,Bull. So. Calif. Acad. Sci.,,,,,1,,,,,
lit,Hymenoptera,Formicidae,Aphaenogaster,,patruelis,Aphaenogaster patruelis,1933,Proc. Calif. Acad. Sci. ser. 4,,,,,,,,,1,
lit,Hymenoptera,Formicidae,Aphaenogaster,,patruelis,Aphaenogaster patruelis,1934,Pan-Pac. Ent.,,,,,,,,,1,
lit,Hymenoptera,Formicidae,Aphaenogaster,,patruelis,Aphaenogaster patruelis,1935,BPBM Occ. Pap.,,,,,1,,,,,
lit,Hymenoptera,Formicidae,Aphaenogaster,,patruelis,Aphaenogaster patruelis,1935,BPBM Occ. Pap.,,,,,,,,,,
lit,Hymenoptera,Formicidae,Aphaenogaster,,patruelis,Aphaenogaster patruelis,1935,BPBM Occ. Pap.,,,,,,,,,1,
lit,Hymenoptera,Formicidae,Aphaenogaster,,patruelis,Aphaenogaster patruelis,1940,Proc. Sixth Pac. Sci. Cong.,,,,,,,,,1,
lit,Hymenoptera,Formicidae,Aphaenogaster,,patruelis,Aphaenogaster patruelis,1940,Proc. Sixth Pac. Sci. Cong.,,,,,1,,,,,
lit,Hymenoptera,Formicidae,Aphaenogaster,,patruelis,Aphaenogaster patruelis,1941,Bull. S. Calif. Acad. Sci.,,,,,1,,,,,
lit,Hymenoptera,Formicidae,Aphaenogaster,,patruelis,Aphaenogaster patruelis,1941,Bull. S. Calif. Acad. Sci.,,,,,,,,,1,
lit,Hymenoptera,Formicidae,Aphaenogaster,,patruelis,Aphaenogaster patruelis,1950,Bull. Mus. Comp. Zool.,,,,,,,,,,
lit,Hymenoptera,Formicidae,Aphaenogaster,,patruelis,Aphaenogaster patruelis,1950,Bull. Mus. Comp. Zool.,,,,,1,,,,,
lit,Hymenoptera,Formicidae,Aphaenogaster,,patruelis,Aphaenogaster patruelis,1982,Univ. Calif. Publ. Ent.,,,,,,1,,,,
lit,Hymenoptera,Formicidae,Aphaenogaster,,patruelis,Aphaenogaster patruelis,1991,Herp. Monographs,,,,1,,,,,,
lit,Hymenoptera,Formicidae,Camponotus,(Camponotus),keiferi,Camponotus keiferi,1934,Pan-Pac. Ent.,,,,,,,,,,
lit,Hymenoptera,Formicidae,Camponotus,(Camponotus),keiferi,Camponotus keiferi,1935,BPBM Occ. Pap.,,,,,,,,,,
lit,Hymenoptera,Formicidae,Camponotus,(Myrmentoma),anthrax,Camponotus anthrax,1988,Adv. Myrmecology,,,,,,,1,,,
lit,Hymenoptera,Formicidae,Camponotus,(Myrmentoma),bakeri,Camponotus bakeri,1918,Pom. Coll. J. Ent. & Zool.,,,,,1,,,,,
lit,Hymenoptera,Formicidae,Camponotus,(Myrmentoma),bakeri,Camponotus bakeri,1904,Bull. Amer. Mus. Nat. Hist.,,,,,1,,,,,
lit,Hymenoptera,Formicidae,Camponotus,(Myrmentoma),bakeri,Camponotus bakeri,1905,Bull. So. Calif. Acad. Sci.,,,,,1,,,,,
lit,Hymenoptera,Formicidae,Camponotus,(Myrmentoma),bakeri,Camponotus bakeri,1910,Ann. New York Acad. Sci.,,,,,1,,,,,
lit,Hymenoptera,Formicidae,Camponotus,(Myrmentoma),bakeri,Camponotus bakeri,1904,Bull. Amer. Mus. Nat. Hist.,,,,,1,,,,,
lit,Hymenoptera,Formicidae,Camponotus,(Myrmentoma),bakeri,Camponotus bakeri,1935,BPBM Occ. Pap.,,,,,1,,,,,
lit,Hymenoptera,Formicidae,Camponotus,(Myrmentoma),bakeri,Camponotus bakeri,1940,Proc. Sixth Pac. Sci. Cong.,,6,,,1,1,,,,
lit,Hymenoptera,Formicidae,Camponotus,(Myrmentoma),bakeri,Camponotus bakeri,1941,Bull. S. Calif. Acad. Sci.,,,,,1,,,,,
lit,Hymenoptera,Formicidae,Camponotus,(Myrmentoma),bakeri,Camponotus bakeri,1950,Bull. Mus. Comp. Zool.,,,,,1,,,,,
lit,Hymenoptera,Formicidae,Camponotus,(Myrmentoma),bakeri,Camponotus bakeri,1950,Bull. Mus. Comp. Zool.,,,,,1,,,,,
lit,Hymenoptera,Formicidae,Camponotus,(Myrmentoma),bakeri,Camponotus bakeri,1950,Bull. Mus. Comp. Zool.,,,,,1,,,,,
lit,Hymenoptera,Formicidae,Camponotus,(Myrmentoma),bakeri,Camponotus bakeri,1985,Ent. Calif. Ch. Isl.,,,,1,1,1,,,,1
lit,Hymenoptera,Formicidae,Camponotus,(Myrmentoma),bakeri,Camponotus bakeri,1988,Adv. Myrmecology,,,,1,1,1,,,,
lit,Hymenoptera,Formicidae,Camponotus,(Myrmentoma),semitestaceus,Camponotus semitestaceus,1982,Univ. Calif. Publ. Ent.,,,,,,,,,,1
